TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY
Elymus canadensis,Elymus canadensis,1,Y,Y,Y,N,G5,N5,,88,2,86,2,0,2,Wheat,Elymus,NA,NA,wild rye grass; grains,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus canadensis var. canadensis,Elymus canadensis,1,Y,Y,Y,Y,T5,N5,,88,2,86,2,0,2,Wheat,Elymus,var.,canadensis,wild rye grass; grains,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus curvatus,Elymus curvatus,1,Y,N,,Y,G4,N4,,2,0,2,0,0,0,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus elymoides,Elymus elymoides,1,Y,N,N,N,G5,N5,,287,0,287,0,0,0,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus elymoides subsp. californicus,Elymus elymoides,1,Y,N,N,Y,T4,N4,,287,0,287,NA,NA,NA,Wheat,Elymus,subsp.,californicus,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus elymoides subsp. elymoides,Elymus elymoides,1,Y,N,N,Y,T5,N4,,287,0,287,NA,NA,NA,Wheat,Elymus,subsp.,elymoides,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus glaucus,Elymus glaucus,1,Y,N,N,N,G5,N5,,148,6,142,3,3,0,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus glaucus subsp. glaucus,Elymus glaucus,1,Y,N,N,Y,T5,NNR,,148,6,142,NA,NA,NA,Wheat,Elymus,subsp.,glaucus,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus glaucus subsp. virescens,Elymus glaucus,1,Y,N,N,Y,T5,N5,,148,6,142,NA,NA,NA,Wheat,Elymus,subsp.,virescens,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus hirsutus,Elymus hirsutus,1,Y,N,,Y,G5,N5,,0,0,0,0,0,0,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus hystrix,Elymus hystrix,1,Y,N,,Y,G5,N5,,10,1,9,0,0,0,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus lanceolatus,Elymus lanceolatus,1,Y,N,N,N,G5,N5,,71,0,71,0,0,0,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus lanceolatus subsp. lanceolatus,Elymus lanceolatus,1,Y,N,N,Y,T5,N5,,71,0,71,NA,NA,NA,Wheat,Elymus,subsp.,lanceolatus,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus lanceolatus subsp. psammophilus,Elymus lanceolatus,1,Y,N,N,Y,T3,NNR,,71,0,71,NA,NA,NA,Wheat,Elymus,subsp.,psammophilus,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus macrourus,Elymus macrourus,1,Y,N,,Y,N4,N4,,6,0,6,2,0,2,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus riparius,Elymus riparius,1,Y,N,,Y,G5,N4,,3,0,3,0,0,0,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus scribneri,Elymus scribneri,1,Y,N,,Y,G5,N2,,2,0,2,0,0,0,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus sibiricus,Elymus sibiricus,1,Y,N,,Y,GNR,NNA,,188,0,188,0,0,0,Wheat,Elymus,NA,NA,,N,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Assume distant,1C
Elymus villosus,Elymus villosus,1,Y,N,,Y,G5,N4,,9,2,7,2,2,0,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Assume distant,1C
Elymus violaceus,Elymus violaceus,1,Y,N,,Y,T5,N5,,20,0,20,2,0,2,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus virginicus,Elymus virginicus,1,Y,N,N,N,G5,N5,,177,0,177,0,0,0,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus virginicus var. halophilus,Elymus virginicus,1,Y,N,N,Y,T5,NNR,,177,0,177,NA,NA,NA,Wheat,Elymus,var.,halophilus,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus virginicus var. intermedius,Elymus virginicus,1,Y,N,N,Y,TNR,N4,,177,0,177,NA,NA,NA,Wheat,Elymus,var.,intermedius,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus virginicus var. virginicus,Elymus virginicus,1,Y,N,N,Y,T5,N5,,177,0,177,NA,NA,NA,Wheat,Elymus,var.,virginicus,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Empetrum nigrum,Empetrum nigrum,NA,N,Y,N,N,G5,N5,,32,14,18,1,1,0,Crowberry,Empetrum,NA,NA,berries edible,Y,Food,,NA,Fruits,,,NA,NA,NA
Empetrum nigrum subsp. hermaphroditum,Empetrum nigrum,NA,N,Y,N,Y,T5,N5,,32,14,18,NA,NA,NA,Crowberry,Empetrum,subsp.,hermaphroditum,,Y,Food,,NA,Fruits,,,NA,NA,NA
Empetrum nigrum subsp. nigrum,Empetrum nigrum,NA,N,Y,N,Y,T5,N4,,32,14,18,NA,NA,NA,Crowberry,Empetrum,subsp.,nigrum,,Y,Food,,NA,Fruits,,,NA,NA,NA
Erythronium americanum,Erythronium americanum,NA,N,Y,Y,N,G5,N5,,17,17,0,2,2,0,Fawn-Lily,Erythronium,NA,NA,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA
Erythronium americanum subsp. americanum,Erythronium americanum,NA,N,Y,Y,Y,T5,N5,,17,17,0,2,2,0,Fawn-Lily,Erythronium,subsp.,americanum,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA
Erythronium grandiflorum,Erythronium grandiflorum,NA,N,Y,Y,N,G5,N5,,7,1,6,0,0,0,Fawn-Lily,Erythronium,NA,NA,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA
Erythronium grandiflorum subsp. grandiflorum,Erythronium grandiflorum,NA,N,Y,Y,Y,T5,N5,,7,1,6,0,0,0,Fawn-Lily,Erythronium,subsp.,grandiflorum,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA
Erythronium oregonum,Erythronium oregonum,2,Y,N,,Y,G5,N4,,11,11,0,1,1,0,Fawn-Lily,Erythronium,NA,NA,bulbs,Y,Food,Ornamentals,NA,Vegetables,Ornamentals,,NA,NA,2
Erythronium revolutum,Erythronium revolutum,NA,N,Y,,Y,G4,N5,,14,13,1,0,0,0,Fawn-Lily,Erythronium,NA,NA,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA
Fagus grandifolia,Fagus grandifolia,2,Y,Y,,Y,G5,N5,,38,28,10,10,9,1,Beech,Fagus,NA,NA,beechnut; nuts,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Festuca altaica,Festuca altaica,2,Y,N,,Y,G5,N5,,22,1,21,2,1,1,Fescue,Festuca,NA,NA,,Y,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca occidentalis,Festuca occidentalis,2,Y,N,,Y,G5,N5,,5,0,5,1,0,1,Fescue,Festuca,NA,NA,,Y,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca rubra,Festuca rubra,2,Y,N,N,N,G5,NNR,,474,0,474,1,0,1,Fescue,Festuca,NA,NA,,Y,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca rubra subsp. arctica,Festuca rubra,2,Y,N,N,Y,G5,N5,,474,0,474,NA,NA,NA,Fescue,Festuca,subsp.,arctica,,Y,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca rubra subsp. aucta,Festuca rubra,2,Y,N,N,Y,TNR,N4,,474,0,474,NA,NA,NA,Fescue,Festuca,subsp.,aucta,,Y,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca rubra subsp. commutata,Festuca rubra,2,Y,N,N,Y,TNR,NNA,,474,0,474,NA,NA,NA,Fescue,Festuca,subsp.,commutata,,N,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca rubra subsp. fallax,Festuca rubra,2,Y,N,N,Y,TNR,NNR,,474,0,474,NA,NA,NA,Fescue,Festuca,subsp.,fallax,,N,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca rubra subsp. pruinosa,Festuca rubra,2,Y,N,N,Y,TNR,NNA,,474,0,474,NA,NA,NA,Fescue,Festuca,subsp.,pruinosa,,Y,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca rubra subsp. rubra,Festuca rubra,2,Y,N,N,Y,TNR,NNR,,474,0,474,NA,NA,NA,Fescue,Festuca,subsp.,rubra,,N,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca rubra subsp. secunda,Festuca rubra,2,Y,N,N,Y,TNR,N4,,474,0,474,NA,NA,NA,Fescue,Festuca,subsp.,secunda,,Y,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca rubra subsp. vallicola,Festuca rubra,2,Y,N,N,Y,T5,NNA,,474,0,474,NA,NA,NA,Fescue,Festuca,subsp.,vallicola,,Y,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca subulata,Festuca subulata,2,Y,N,,Y,TNR,N4,,0,0,0,0,0,0,Fescue,Festuca,NA,NA,,Y,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca subuliflora,Festuca subuliflora,2,Y,N,,Y,G6,N4,,1,0,1,1,0,1,Fescue,Festuca,NA,NA,,Y,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca subverticillata,Festuca subverticillata,2,Y,N,,Y,G5,N4,,2,0,2,0,0,0,Fescue,Festuca,NA,NA,,Y,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Festuca viridula,Festuca viridula,2,Y,N,,Y,G5,N5,,0,0,0,0,0,0,Fescue,Festuca,NA,NA,,Y,Food,Ornamentals,NA,Forage and Feed,Ornamentals,,NA,NA,2
Fragaria ananassa,Fragaria ananassa,1,Y,Y,Y,N,GNA,NNA,,890,4,886,197,0,197,Strawberry,Fragaria,NA,NA,strawberry; fruit,N,Food,,NA,Fruits,,,NA,Primary,1A
Fragaria ananassa subsp. ananassa,Fragaria ananassa,1,Y,Y,Y,Y,TNA,NNA,,890,4,886,0,0,0,Strawberry,Fragaria,subsp.,ananassa,strawberry; fruit,N,Food,,NA,Fruits,,,NA,Primary,1A
Fragaria ananassa subsp. cuneifolia,Fragaria ananassa,1,Y,Y,Y,Y,TNA,NNA,,890,4,886,197,0,197,Strawberry,Fragaria,subsp.,cuneifolia,strawberry; fruit,N,Food,,NA,Fruits,,,NA,Primary,1A
Fragaria chiloensis,Fragaria chiloensis,1,Y,Y,Y,N,G5,N5,,334,14,320,228,3,225,Strawberry,Fragaria,NA,NA,strawberry; fruit,Y,Food,,NA,Fruits,,,NA,Primary,1A
Fragaria chiloensis subsp. lucida,Fragaria chiloensis,1,Y,Y,Y,Y,T4,N4,,334,14,320,0,0,0,Strawberry,Fragaria,subsp.,lucida,strawberry; fruit,Y,Food,,NA,Fruits,,,NA,Primary,1A
Fragaria chiloensis subsp. pacifica,Fragaria chiloensis,1,Y,Y,Y,Y,T4,N4,,334,14,320,228,3,225,Strawberry,Fragaria,subsp.,pacifica,strawberry; fruit,Y,Food,,NA,Fruits,,,NA,Primary,1A
Fragaria vesca,Fragaria vesca,1,Y,Y,Y,N,G5,N5,,223,11,212,12,0,12,Strawberry,Fragaria,NA,NA,strawberry; fruit,Y,Food,,NA,Fruits,,,NA,Tertiary,1C
Fragaria vesca subsp. americana,Fragaria vesca,1,Y,Y,Y,Y,T5,N5,,223,11,212,8,0,8,Strawberry,Fragaria,subsp.,americana,strawberry; fruit,Y,Food,,NA,Fruits,,,NA,Tertiary,1C
Fragaria vesca subsp. bracteata,Fragaria vesca,1,Y,Y,Y,Y,T5,N5,,223,11,212,2,0,2,Strawberry,Fragaria,subsp.,bracteata,strawberry; fruit,Y,Food,,NA,Fruits,,,NA,Tertiary,1C
Fragaria vesca subsp. vesca,Fragaria vesca,1,Y,Y,Y,Y,T4,NNA,,223,11,212,2,0,2,Strawberry,Fragaria,subsp.,vesca,strawberry; fruit,N,Food,,NA,Fruits,,,NA,Tertiary,1C
Fragaria virginiana,Fragaria virginiana,1,Y,Y,Y,N,G5,N5,,440,8,432,60,5,55,Strawberry,Fragaria,NA,NA,strawberry; fruit,Y,Food,,NA,Fruits,,,NA,Primary,1A
Fragaria virginiana subsp. glauca,Fragaria virginiana,1,Y,Y,Y,Y,T5,N5,,440,8,432,6,1,5,Strawberry,Fragaria,subsp.,glauca,strawberry; fruit,Y,Food,,NA,Fruits,,,NA,Primary,1A
Fragaria virginiana subsp. platypetala,Fragaria virginiana,1,Y,Y,Y,Y,T5,N5,,440,8,432,4,3,1,Strawberry,Fragaria,subsp.,platypetala,strawberry; fruit,Y,Food,,NA,Fruits,,,NA,Primary,1A
Fragaria virginiana subsp. virginiana,Fragaria virginiana,1,Y,Y,Y,Y,T5,N5,,440,8,432,50,1,49,Strawberry,Fragaria,subsp.,virginiana,strawberry; fruit,Y,Food,,NA,Fruits,,,NA,Primary,1A
Frangula purshiana,Frangula purshiana,NA,N,Y,N,N,G5,N5,,9,3,6,0,0,0,Buckthorn,Frangula,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Frangula purshiana subsp. purshiana,Frangula purshiana,NA,N,Y,N,Y,T4,N5,,9,3,6,NA,NA,NA,Buckthorn,Frangula,subsp.,purshiana,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Fraxinus americana,Fraxinus americana,2,Y,Y,,Y,G5,NNR,,2012,570,1442,775,477,298,Ash,Fraxinus,NA,NA,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Fraxinus nigra,Fraxinus nigra,2,Y,Y,,Y,G5,N5,T - Threatened (T) / Mecée (M),594,42,552,246,22,224,Ash,Fraxinus,NA,NA,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Fraxinus pennsylvanica,Fraxinus pennsylvanica,2,Y,Y,,Y,G4,N5,,1800,501,1299,708,341,367,Ash,Fraxinus,NA,NA,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Fraxinus quadrangulata,Fraxinus quadrangulata,2,Y,Y,,Y,G4,N2,T - Threatened (T) / Mecée (M),162,55,107,68,50,18,Ash,Fraxinus,NA,NA,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Fritillaria affinis,Fritillaria affinis,NA,N,Y,N,N,G5,N5,,10,10,0,4,4,0,Fritillaria,Fritillaria,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Fritillaria affinis var. affinis,Fritillaria affinis,NA,N,Y,N,Y,T5,N4,,10,10,0,NA,NA,NA,Fritillaria,Fritillaria,var.,affinis,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Fritillaria camschatcensis,Fritillaria camschatcensis,NA,N,Y,,Y,G5,N5,,7,2,5,2,0,2,Fritillaria,Fritillaria,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Fritillaria pudica,Fritillaria pudica,NA,N,Y,,Y,G5,N5,,8,3,5,0,0,0,Fritillaria,Fritillaria,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Gaillardia aristata,Gaillardia aristata,2,Y,N,,Y,G5,N5,,17,6,11,2,2,0,Blanket-Flower,Gaillardia,NA,NA,,Y,Ornamentals,,NA,Ornamentals,,,NA,NA,2
Gaultheria hispidula,Gaultheria hispidula,NA,N,Y,,Y,G5,N5,,3,1,2,1,0,1,Salal berry,Gaultheria,NA,NA,"leaves, leaves as tea",Y,Food,,NA,Fruits,,,NA,NA,NA
Gaultheria humifusa,Gaultheria humifusa,NA,N,Y,,Y,G5,N5,,6,2,4,2,2,0,Salal berry,Gaultheria,NA,NA,"fruit, leaves as tea",Y,Food,,NA,Fruits,,,NA,NA,NA
Gaultheria ovatifolia,Gaultheria ovatifolia,NA,N,Y,,Y,G5,N5,,4,2,2,1,1,0,Salal berry,Gaultheria,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,NA,NA
Gaultheria procumbens,Gaultheria procumbens,NA,N,Y,,Y,G5,N5,,30,22,8,2,1,1,Salal berry,Gaultheria,NA,NA,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,NA,NA
Gaultheria shallon,Gaultheria shallon,NA,N,Y,,Y,G5,N5,,22,11,11,0,0,0,Salal berry,Gaultheria,NA,NA,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,NA,NA
Gaylussacia baccata,Gaylussacia baccata,NA,N,Y,,Y,G5,N5,,15,3,12,0,0,0,Huckleberry,Gaylussacia,NA,NA,huckleberry; fruit,Y,Food,,NA,Fruits,,,NA,NA,NA
Gaylussacia bigeloviana,Gaylussacia bigeloviana,NA,N,Y,,Y,G4,N5,,1,1,0,1,1,0,Huckleberry,Gaylussacia,NA,NA,huckleberry; fruit,Y,Food,,NA,Fruits,,,NA,NA,NA
Gleditsia triacanthos,Gleditsia triacanthos,2,Y,N,,Y,G5,N2,,61,60,1,42,41,1,Honey-locust,Gleditsia,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Glycyrrhiza lepidota,Glycyrrhiza lepidota,NA,N,Y,,Y,G5,N5,,23,0,23,1,0,1,Wild-licorice,Glycyrrhiza,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Hamamelis virginiana,Hamamelis virginiana,2,Y,Y,,Y,G5,N5,,113,72,41,35,32,3,Witch-Hazel,Hamamelis,NA,NA,witch-hazel; leaves dried as tea,Y,Ornamentals,Medicinals,NA,Ornamentals,Medicinals,,NA,Assume distant,2
Hedysarum americanum,Hedysarum americanum,2,Y,N,,Y,G5,N5,,0,0,0,0,0,0,Sainfoin,Hedysarum,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Hedysarum boreale,Hedysarum boreale,2,Y,Y,Y,N,G5,N5,,27,0,27,0,0,0,Sainfoin,Hedysarum,NA,NA,northern hedysarum,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Hedysarum boreale subsp. boreale,Hedysarum boreale,2,Y,Y,Y,Y,T5,N5,,27,0,27,0,0,0,Sainfoin,Hedysarum,subsp.,boreale,northern hedysarum,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Hedysarum boreale subsp. mackenziei,Hedysarum boreale,2,Y,Y,Y,Y,T5,N5,,27,0,27,0,0,0,Sainfoin,Hedysarum,subsp.,mackenziei,northern hedysarum,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Hedysarum occidentale,Hedysarum occidentale,2,Y,N,,Y,G5,N4,,1,0,1,0,0,0,Sainfoin,Hedysarum,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Hedysarum sulphurescens,Hedysarum sulphurescens,2,Y,N,,Y,G5,N5,,1,0,1,1,0,1,Sainfoin,Hedysarum,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Helianthus annuus,Helianthus annuus,1,Y,Y,,Y,G5,N4,,4297,2,4295,24,0,24,Sunflower,Helianthus,NA,NA,sunflower; seeds,N,Food,,NA,Oils,Vegetables,,NA,Primary,1A
Helianthus decapetalus,Helianthus decapetalus,1,Y,N,,Y,G5,N4,,30,1,29,2,0,2,Sunflower,Helianthus,NA,NA,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C
Helianthus divaricatus,Helianthus divaricatus,1,Y,N,,Y,G5,N5,,31,6,25,5,5,0,Sunflower,Helianthus,NA,NA,,Y,Food,,Food,Oils,Vegetables,,Vegetables,Tertiary,1C
Helianthus giganteus,Helianthus giganteus,1,Y,Y,,Y,G5,N5,,28,1,27,2,0,2,Sunflower,Helianthus,NA,NA,sunflower; seeds,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C
Helianthus hirsutus,Helianthus hirsutus,1,Y,N,,Y,G5,NNA,,14,0,14,0,0,0,Sunflower,Helianthus,NA,NA,,N,Food,,Food,Oils,Vegetables,,Oils,Progenitor,1A
Helianthus laetiflorus,Helianthus laetiflorus,1,Y,N,,Y,GNA,NNA,,12,0,12,0,0,0,Sunflower,Helianthus,NA,NA,,N,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C
Helianthus maximiliani,Helianthus maximiliani,1,Y,N,,Y,G5,N5,,77,0,77,13,0,13,Sunflower,Helianthus,NA,NA,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C
Helianthus nuttallii,Helianthus nuttallii,1,Y,N,Y,N,G5,N5,,22,0,22,11,0,11,Sunflower,Helianthus,NA,NA,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C
Helianthus nuttallii subsp. rydbergii,Helianthus nuttallii,1,Y,N,Y,Y,T5,N4,,22,0,22,11,0,11,Sunflower,Helianthus,subsp.,rydbergii,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C
Helianthus pauciflorus,Helianthus pauciflorus,1,Y,N,Y,N,G5,N4,,52,1,51,5,0,5,Sunflower,Helianthus,NA,NA,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C
Helianthus pauciflorus subsp. pauciflorus,Helianthus pauciflorus,1,Y,N,Y,Y,T5,NU,,52,1,51,0,0,0,Sunflower,Helianthus,subsp.,pauciflorus,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C
Helianthus pauciflorus subsp. subrhomboideus,Helianthus pauciflorus,1,Y,N,Y,Y,T5,N4,,52,1,51,5,0,5,Sunflower,Helianthus,subsp.,subrhomboideus,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C
Helianthus petiolaris,Helianthus petiolaris,1,Y,N,Y,N,G5,N4,,164,1,163,7,0,7,Sunflower,Helianthus,NA,NA,,Y,Food,,NA,Oils,Vegetables,,NA,Secondary,1B
Helianthus petiolaris subsp. petiolaris,Helianthus petiolaris,1,Y,N,Y,Y,T5,N5,,164,1,163,7,0,7,Sunflower,Helianthus,subsp.,petiolaris,,Y,Food,,NA,Oils,Vegetables,,NA,Secondary,1B
Helianthus strumosus,Helianthus strumosus,1,Y,N,,Y,G5,N5,,30,1,29,0,0,0,Sunflower,Helianthus,NA,NA,,Y,Food,,Food,Oils,Vegetables,,Oils,Tertiary,1C
Helianthus tuberosus,Helianthus tuberosus,1,Y,Y,,Y,G5,N3,,95,0,95,3,0,3,Sunflower,Helianthus,NA,NA,jerusalem artichoke; tubers,Y,Food,,Food,Oils,Vegetables,,Oils,Progenitor,1A
Heracleum sphondylium,Heracleum maximum,NA,N,Y,,Y,G5,N5,,27,0,27,2,0,2,Cow-parsnip,Heracleum,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Heuchera chlorantha,Heuchera chlorantha,NA,N,Y,,Y,G4,N4,,0,0,0,0,0,0,Heuchera,Heuchera,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Holodiscus discolor,Holodiscus discolor,NA,N,Y,Y,N,G5,N5,,37,16,21,4,4,0,Oceanspray,Holodiscus,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Holodiscus discolor var. discolor,Holodiscus discolor,NA,N,Y,Y,Y,G5,N5,,37,16,21,4,4,0,Oceanspray,Holodiscus,var.,discolor,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Honckenya peploides,Honckenya peploides,NA,N,Y,N,N,G5,N5,,5,0,5,2,0,2,Sea-sandwort,Honckenya,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Honckenya peploides subsp. diffusa,Honckenya peploides,NA,N,Y,N,Y,T5,N4,,5,0,5,NA,NA,NA,Sea-sandwort,Honckenya,subsp.,diffusa,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Honckenya peploides subsp. major,Honckenya peploides,NA,N,Y,N,Y,T5,N5,,5,0,5,NA,NA,NA,Sea-sandwort,Honckenya,subsp.,major,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Honckenya peploides subsp. robusta,Honckenya peploides,NA,N,Y,N,Y,T5,N5,,5,0,5,NA,NA,NA,Sea-sandwort,Honckenya,subsp.,robusta,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Hordeum brachyantherum,Hordeum brachyantherum,1,Y,N,Y,N,G5,N5,,93,0,93,4,0,4,Barley,Hordeum,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Hordeum brachyantherum subsp. brachyantherum,Hordeum brachyantherum,1,Y,N,Y,Y,T5,N5,,93,0,93,4,0,4,Barley,Hordeum,subsp.,brachyantherum,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Hordeum depressum,Hordeum depressum,1,Y,N,,Y,G5,NNA,,0,0,0,0,0,0,Barley,Hordeum,NA,NA,,N,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Hordeum jubatum,Hordeum jubatum,1,Y,Y,N,N,G5,N5,,26,0,26,0,0,0,Barley,Hordeum,NA,NA,foxtail barley; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Hordeum jubatum subsp. intermedium,Hordeum jubatum,1,Y,Y,N,Y,T5,N5,,26,0,26,NA,NA,NA,Barley,Hordeum,subsp.,intermedium,foxtail barley; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Hordeum jubatum subsp. jubatum,Hordeum jubatum,1,Y,Y,N,Y,T5,N5,,26,0,26,NA,NA,NA,Barley,Hordeum,subsp.,jubatum,foxtail barley; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
